Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,M,F,Net,Lab,,M,F,Net,LD,,M,F,Net,Con lead,,
,Oct,9-11,09/10/2009,13,Populus,TT,40,-1,,,,30,3,,,,18,0,,,,10,-4,Phone
,Oct,14-15,14/10/2009,18,ComRes,IoS,40,0,45,36,9,28,0,28,29,-1,19,0,15,25,-10,12,0,Phone
,Oct,15-16,15/10/2009,18,YouGov,ST,41,-1,38,44,-6,30,2,32,29,3,17,-2,17,16,1,11,-3,Internet
,Oct,15-16,15/10/2009,20,Angus RS,PB,40,,41,40,1,23,,24,22,2,20,,21,21,0,17,,Internet
,Oct,16,16/10/2009,,Opinium,,41,1,,,,30,0,,,,15,0,,,,11,1,
,Oct,16-18,16/10/2009,20,MORI,,43,7,44,42,2,26,2,28,25,3,19,-6,16,22,-6,17,5,Phone
,Oct,16-18,16/10/2009,21,ICM,GU,44,-1,,,,27,1,,,,18,0,,,,17,-2,Phone
,Oct,22-23,22/10/2009,24,YouGov,DT,40,-1,38,43,-5,27,-3,29,25,4,19,2,19,19,0,13,2,Internet
,Oct,23,23/10/2009,,Opinium,,40,-1,,,,29,-1,,,,15,0,,,,11,0,
,Oct,23-25,23/10/2009,27,ComRes,Ind,40,0,41,39,2,27,-1,24,32,-8,18,-1,20,15,5,13,1,Phone
,Oct,27-29,27/10/2009,,YouGov,DT,41,1,39,43,-4,28,1,28,28,0,16,-2,18,15,3,13,0,Internet
,Oct,28-29,28/10/2009,1,ICM,STel,42,-2,,,,25,-2,,,,21,3,,,,17,0,Phone
,Oct,30,30/10/2009,,Opinium,,41,1,,,,30,1,,,,15,0,,,,11,0,
,Nov,5-6,05/11/2009,6,YouGov,C4,41,0,38,45,-7,27,-1,28,25,3,17,1,15,18,-3,14,1,Internet
,Nov,4-6,04/11/2009,6,Angus RS,PB,38,-2,37,39,-2,24,1,25,23,2,20,0,20,20,0,14,-3,Internet
,Nov,6,06/11/2009,,Opinium,,40,-1,,,,29,-1,,,,14,-1,,,,11,0,
,Nov,6-8,06/11/2009,10,Populus,TT,39,-1,,,,29,-1,,,,18,0,,,,10,0,Phone
,Nov,11-12,11/11/2009,15,ComRes,Ind,39,-1,41,38,3,25,-2,22,27,-5,17,-1,19,16,3,14,1,Phone
,Nov,12-13,12/11/2009,15,YouGov,ST,41,0,39,43,-4,27,0,27,27,0,18,1,19,17,2,14,0,Internet
,Nov,13,13/11/2009,,Opinium,,39,-1,,,,29,0,,,,16,2,,,,10,-1,
,Nov,13-15,13/11/2009,17,ICM,GU,42,0,,,,29,4,,,,19,-2,,,0,13,-4,Phone
,Nov,13-15,13/11/2009,22,MORI,OB,37,-6,35,40,-5,31,5,31,31,0,17,-2,18,17,1,6,-11,Phone
,Nov,20,20/11/2009,,Opinium,,38,-1,,,,30,1,,,,12,-4,,,,8,-2,
,Nov,20-23,20/11/2009,23,Angus RS,PB,39,1,37,42,-5,22,-2,23,20,3,21,1,21,21,0,17,3,Internet
,Nov,24-26,24/11/2009,29,YouGov,DT,39,-2,37,41,-4,29,2,30,29,1,19,1,20,18,2,10,-4,Internet
,Nov,27,27/11/2009,,Opinium,,39,1,,,,32,2,,,,17,5,,,,7,-1,
,Nov,27-29,27/11/2009,1,ComRes,Ind,37,-2,36,37,-1,27,2,30,25,5,20,3,15,24,-9,10,-4,Phone
,Dec,2-3,02/12/2009,6,ICM,STel,40,-2,,,,29,0,,,,19,0,,,,11,-2,Phone
,Dec,3-4,03/12/2009,6,YouGov,ST,40,1,40,40,0,27,-2,27,27,0,18,-1,18,18,0,13,3,Internet
,Dec,4,04/12/2009,,Opinium,,37,-2,,,,30,-2,,,,12,-5,,,,7,0,
,Dec,4-6,04/12/2009,8,Populus,TT,38,-1,,,,30,1,,,,20,2,,,,8,-2,Phone
,Dec,8-10,08/12/2009,10,Angus RS,PB,40,1,40,39,1,23,1,22,23,-1,19,-2,18,20,-2,17,0,Internet
,Dec,9-10,09/12/2009,13,ComRes,IoS,41,4,42,41,1,24,-3,23,26,-3,21,1,20,22,-2,17,7,Phone
,Dec,10-11,10/12/2009,13,YouGov,ST,40,0,39,42,-3,31,4,30,31,-1,16,-2,16,15,1,9,-4,Internet
,Dec,10-11,10/12/2009,13,BPIX,MoS,41,-2,,,,30,1,,,,17,1,,,,11,-3,Internet
,Dec,11-13,11/12/2009,15,ICM,GU,40,0,,,,31,2,,,,18,-1,,,,9,-2,Phone
,Dec,11-13,11/12/2009,20,MORI,OB,43,6,43,44,-1,26,-5,23,29,-6,20,3,20,19,1,17,11,Phone
,Dec,16-18,16/12/2009,18,Angus RS,PB,40,0,37,44,-7,24,1,28,20,8,20,1,19,20,-1,16,-1,Internet
,Dec,15-17,15/12/2009,20,YouGov,People,40,0,,,,28,-3,,,,18,2,,,,12,3,Internet
,Dec,18,18/12/2009,,Opinium,,38,1,,,,28,-2,,,,15,3,,,,10,3,
,Dec,19-20,19/12/2009,22,ComRes,Ind,38,-3,41,35,6,29,5,30,29,1,19,-2,15,23,-8,9,-8,Phone
,Dec,24,24/12/2009,,Opinium,,39,1,,,,32,4,,,,13,-2,,,,7,-3,
,Dec,29-30,29/12/2009,1,YouGov,DT,40,0,38,43,-5,30,2,32,29,3,17,-1,17,17,0,10,-2,Internet
2010,Jan,5-6,05/01/2010,7,YouGov,Sun,40,0,38,41,-3,31,1,31,31,0,17,0,18,17,1,9,-1,Internet
,Jan,6-7,06/01/2010,8,YouGov,Sun,42,2,39,44,-5,30,-1,32,28,4,16,-1,18,16,2,12,3,Internet
,Jan,6-7,06/01/2010,10,ICM,STel,40,0,,,,30,-1,,,,18,0,,,,10,1,Phone
,Jan,8,08/01/2010,,Opinium,,38,-1,,,,32,0,,,,15,2,,,,6,-1,
,Jan,8-10,08/01/2010,11,Angus RS,PB,40,0,39,42,-3,24,0,25,23,2,20,0,20,21,-1,16,0,Internet
,Jan,8-10,08/01/2010,12,Populus,TT,41,3,,,,28,-2,,,,19,-1,,,,13,5,Phone
,Jan,13-14,13/01/2010,17,ComRes,IoS,42,4,45,39,6,29,0,25,33,-8,19,0,17,20,-3,13,4,Phone
,Jan,14-15,14/01/2010,17,YouGov,ST,40,-2,39,42,-3,31,1,32,30,2,18,2,19,17,2,9,-3,Internet
,Jan,15,15/01/2010,,Opinium,,36,-2,,,,32,0,,,,15,0,,,,4,-2,
,Jan,20-21,20/01/2010,24,ComRes,SMirror,38,-4,39,36,3,29,0,28,31,-3,19,0,18,21,-3,9,-4,Phone
,Jan,22-24,22/01/2010,26,ICM,GU,40,0,,,,29,-1,,,,21,3,,,,11,1,Phone
,Jan,23,23/01/2010,,Opinium,,37,1,,,,30,-2,,,,15,0,,,,7,3,
,Jan,26-27,26/01/2010,29,Angus RS,PB,40,0,40,40,0,24,0,25,22,3,19,-1,17,21,-4,16,0,Internet
,Jan,26-28,26/01/2010,31,YouGov,People,40,0,40,40,0,31,0,30,32,-2,18,0,18,19,-1,9,0,Internet
,Jan,26-28,26/01/2010,30,MORI,Mirror,40,-3,38,42,-4,32,6,31,34,-3,16,-4,16,16,0,8,-9,Phone
,Jan,28-29,28/01/2010,30,YouGov,DT,38,-2,35,42,-7,31,0,33,29,4,19,1,19,18,1,7,-2,Internet
,Jan,29,29/01/2010,,Opinium,,39,2,,,,32,2,,,,15,0,,,,7,0,
,Jan,29-30,29/01/2010,31,BPIX,MoS,39,-2,,,,30,0,,,,18,1,,,,9,-2,Internet
,Jan,29-31,29/01/2010,2,ComRes,Ind,38,0,43,32,11,31,2,27,36,-9,19,0,18,19,-1,7,-2,Phone
,Feb,3-4,03/02/2010,7,ICM,STel,39,-1,,,,30,1,,,,20,-1,,,,9,-2,Phone
,Feb,5-7,05/02/2010,9,Populus,TT,40,-1,,,,30,2,,,,20,1,,,,10,-3,Phone
,Feb,6,06/02/2010,,Opinium,,38,-1,,,,32,0,,,,15,0,,,,6,-1,
,Feb,9-10,09/02/2010,11,Angus RS,PB,38,-2,36,40,-4,25,1,26,24,2,20,1,20,20,0,13,-3,Internet
,Feb,10-11,10/02/2010,14,ComRes,IoS,40,2,42,37,5,29,-2,26,32,-6,21,2,20,22,-2,11,2,Phone
,Feb,13,13/02/2010,,Opinium,,39,1,,,,29,-3,,,,14,-1,,,,10,4,
,Feb,16-17,16/02/2010,18,YouGov,Sun,39,1,38,40,-2,30,-1,31,30,1,18,-1,19,17,2,9,2,Internet
,Feb,16-19,16/02/2010,24,Angus RS,PB,38,0,39,38,1,26,1,27,25,2,19,-1,18,21,-3,12,-1,Internet
,Feb,16-22,16/02/2010,25,Harris,Metro,39,,37,40,-3,30,,30,29,1,22,,23,20,3,9,,Internet
,Feb,17-18,17/02/2010,19,YouGov,Sun,39,0,40,37,3,32,2,33,33,0,18,0,16,19,-3,7,-2,Internet
,Feb,17-18,17/02/2010,21,ComRes,Theos,38,-2,,,,30,1,,,,20,-1,,,,8,-3,Phone
,Feb,18-19,18/02/2010,21,YouGov,ST,39,0,36,42,-6,33,1,35,32,3,17,-1,17,17,0,6,-1,Internet
,Feb,18-24,18/02/2010,,TNS-BMRB,,36,,,,,32,,,,,21,,,,,4,,F2F
,Feb,19,19/02/2010,,Opinium,,40,1,,,,27,-2,,,,17,3,,,,13,3,
,Feb,19-21,19/02/2010,23,ICM,GU,37,-2,,,,30,0,,,,20,0,,,,7,-2,Phone
,Feb,19-22,19/02/2010,26,MORI,DT,37,-3,37,37,0,32,0,31,33,-2,19,3,18,21,-3,5,-3,Phone
,Feb,22-23,22/02/2010,24,YouGov,Sun,38,-1,38,39,-1,32,-1,33,32,1,17,0,17,17,0,6,0,Internet
,Feb,23-24,23/02/2010,25,YouGov,Sun,38,0,41,36,5,32,0,30,34,-4,19,2,18,21,-3,6,0,Internet
,Feb,24-25,24/02/2010,26,YouGov,Sun,39,1,40,39,1,33,1,30,36,-6,16,-3,17,15,2,6,0,Internet
,Feb,25-26,25/02/2010,28,YouGov,ST,37,-2,36,38,-2,35,2,34,35,-1,17,1,17,17,0,2,-4,Internet
,Feb,25-3,25/02/2010,6,TNS-BMRB,,39,3,,,,31,-1,,,,19,-2,,,,8,4,F2F
,Feb,26,26/02/2010,,Opinium,,39,-1,,,,29,2,,,,15,-2,,,,10,-3,
,Feb,26-28,26/02/2010,2,ComRes,Ind,37,-1,36,39,-3,32,1,32,32,0,19,-1,18,19,-1,5,-3,Phone
,Feb,28-1,28/02/2010,2,YouGov,Sun,39,2,38,41,-3,32,-3,33,32,1,17,0,17,17,0,7,5,Internet
,Mar,1-2,01/03/2010,3,YouGov,Sun,38,-1,38,39,-1,33,1,31,36,-5,16,-1,17,14,3,5,-2,Internet
,Mar,2-3,02/03/2010,4,YouGov,Sun,38,0,35,41,-6,32,-1,33,30,3,19,3,17,20,-3,6,1,Internet
,Mar,3-4,03/03/2010,5,YouGov,Sun,38,0,38,39,-1,32,0,33,32,1,17,-2,14,20,-6,6,0,Internet
,Mar,3-4,03/03/2010,7,ICM,NOTW,40,3,,,,31,1,,,,18,-2,,,,9,2,Phone
,Mar,3-8,03/03/2010,10,Harris,Metro,37,-2,40,33,7,29,-1,27,31,-4,18,-4,17,20,-3,8,-1,Internet
,Mar,4-5,04/03/2010,7,YouGov,ST,38,0,36,41,-5,33,1,36,31,5,17,0,17,17,0,5,-1,Internet
,Mar,4-5,04/03/2010,7,BPIX,MoS,36,-3,,,,34,4,,,,18,0,,,,2,-7,Internet
,Mar,4-10,04/03/2010,,RNB,,39,,,,,31,,,,,20,,,,,8,,
,Mar,5-8,05/03/2010,9,Opinium,Express,37,-2,,,,30,1,,,,16,1,,,,7,-3,
,Mar,7-8,07/03/2010,9,YouGov,Sun,39,1,38,41,-3,34,1,36,32,4,16,-1,14,17,-3,5,0,Internet
,Mar,8-9,08/03/2010,10,YouGov,Sun,36,-3,35,37,-2,32,-2,35,29,6,20,4,18,22,-4,4,-1,Internet
,Mar,9-10,09/03/2010,11,YouGov,Sun,37,1,36,38,-2,32,0,33,30,3,17,-3,17,18,-1,5,1,Internet
,Mar,9-10,09/03/2010,11,Angus RS,PB,39,1,37,41,-4,26,0,27,24,3,18,-1,18,19,-1,13,1,Internet
,Mar,10-11,10/03/2010,12,YouGov,Sun,37,0,35,39,-4,34,2,36,32,4,17,0,16,19,-3,3,-2,Internet
,Mar,10-11,10/03/2010,14,ICM,STel,38,-2,,,,31,0,,,,21,3,,,,7,-2,Phone
,Mar,10-11,10/03/2010,22,Populus,Resolution Foundation,38,-2,,,,31,1,,,,21,1,,,,7,-3,Phone
,Mar,10-16,10/03/2010,19,Harris,Metro,36,-1,36,37,-1,28,-1,28,28,0,18,0,16,19,-3,8,0,Internet
,Mar,11-12,11/03/2010,14,YouGov,ST,37,0,35,40,-5,33,-1,33,33,0,17,0,17,17,0,4,1,Internet
,Mar,12-14,12/03/2010,16,ICM,GU,40,2,,,,31,0,,,,20,-1,,,,9,2,Phone
,Mar,12-15,12/03/2010,16,Opinium,Express,39,2,,,,28,-2,,,,16,0,,,,11,4,
,Mar,14-15,14/03/2010,16,YouGov,Sun,37,0,37,38,-1,32,-1,32,31,1,21,4,20,21,-1,5,1,Internet
,Mar,15-16,15/03/2010,17,YouGov,Sun,37,0,36,39,-3,32,0,34,31,3,19,-2,18,20,-2,5,0,Internet
,Mar,15-16,15/03/2010,17,Angus RS,PB,39,0,38,40,-2,26,0,28,23,5,21,3,19,23,-4,13,0,Internet
,Mar,16-17,16/03/2010,18,YouGov,Sun,36,-1,39,34,5,32,0,32,33,-1,20,1,19,21,-2,4,-1,Internet
,Mar,17-18,17/03/2010,19,YouGov,Sun,36,0,34,38,-4,32,0,34,30,4,20,0,19,21,-2,4,0,Internet
,Mar,17-18,17/03/2010,21,ICM,NOTW,38,-2,,,,32,1,,,,19,-1,,,,6,-3,Phone
,Mar,17-22,17/03/2010,24,Harris,Metro,35,-1,35,35,0,28,0,30,26,4,17,-1,16,19,-3,7,-1,Internet
,Mar,18-19,18/03/2010,21,YouGov,ST,38,2,37,39,-2,31,-1,31,30,1,19,-1,18,19,-1,7,3,Internet
,Mar,19-22,19/03/2010,23,Opinium,Express,37,-2,35,39,-4,30,2,31,30,1,15,-1,14,17,-3,7,-4,
,Mar,19-22,19/03/2010,24,MORI,Mirror,35,-2,36,34,2,30,-2,29,31,-2,21,1,20,22,-2,5,0,Phone
,Mar,21-22,21/03/2010,23,YouGov,Sun,36,-2,32,40,-8,32,1,33,30,3,20,1,22,18,4,4,-3,Internet
,Mar,22-23,22/03/2010,24,YouGov,Sun,37,1,35,38,-3,33,1,36,30,6,18,-2,17,20,-3,4,0,Internet
,Mar,23-24,23/03/2010,25,YouGov,Sun,36,-1,37,34,3,34,1,34,35,-1,17,-1,16,18,-2,2,-2,Internet
,Mar,23-29,23/03/2010,1,Harris,Metro,37,2,36,38,-2,27,-1,29,26,3,19,2,20,19,1,10,3,Internet
,Mar,24-25,24/03/2010,26,YouGov,Sun,37,1,36,37,-1,33,-1,34,33,1,18,1,18,18,0,4,2,Internet
,Mar,24-25,24/03/2010,28,ICM,NOTW,39,1,,,,31,-1,,,,19,0,,,,8,2,Phone
,Mar,25-26,25/03/2010,28,YouGov,ST,37,0,36,38,-2,32,-1,32,31,1,19,1,18,20,-2,5,1,Internet
,Mar,25-26,25/03/2010,28,BPIX,MoS,37,1,,,,30,-4,,,,20,2,,,,7,5,Internet
,Mar,25-31,25/03/2010,1,TNS-BMRB,,38,-1,,,,33,2,,,,19,0,,,,5,-3,F2F
,Mar,26-29,26/03/2010,30,Opinium,Express,38,1,38,39,-1,28,-2,28,28,0,18,3,17,19,-2,10,3,
,Mar,26-28,26/03/2010,30,ComRes,Ind,37,0,36,38,-2,30,-2,29,31,-2,20,1,18,22,-4,7,2,Phone
,Mar,28-29,28/03/2010,30,YouGov,Sun,39,2,37,42,-5,32,0,33,31,2,18,-1,20,17,3,7,2,Internet
,Mar,29-30,30/03/2010,31,YouGov,Sun,38,-1,37,39,-2,31,-1,31,32,-1,19,1,19,20,-1,7,0,Internet
,Mar,30-31,30/03/2010,31,Angus RS,PB,37,-2,36,37,-1,28,2,30,25,5,22,1,19,24,-5,9,-4,Internet
,Mar,30-31,30/03/2010,1,YouGov,Sun,38,0,37,40,-3,32,1,34,29,5,19,0,18,19,-1,6,-1,Internet
,Mar,30-31,30/03/2010,2,ICM,GU,38,-1,,,,29,-2,,,,23,4,,,,9,1,Phone
,Mar,31-1,31/03/2010,2,YouGov,Sun,39,1,36,42,-6,31,-1,34,28,6,19,0,18,20,-2,8,2,Internet
,Mar,31-1,31/03/2010,4,Angus RS,S Express,38,1,37,39,-2,27,-1,30,24,0,20,-2,19,22,0,11,2,Internet
,Mar,31-6,31/03/2010,9,Harris,Metro,37,0,35,38,-3,28,1,28,27,0,19,0,18,22,0,9,-1,Internet
,Mar,31-7,31/03/2010,11,OnePoll,S People,37,,,,,31,,,,,21,,,,,6,,
,Apr,1-2,01/04/2010,4,YouGov,ST,39,0,36,42,-6,29,-2,28,29,-1,20,1,22,18,4,10,2,Internet
,Apr,1-3,01/04/2010,6,ICM,GU,37,-1,,,,33,4,,,,21,-2,,,,4,-5,Phone
,Apr,2-5,02/04/2010,6,Opinium,Express,39,1,,,,29,1,,,0,17,-1,,,0,10,0,
,Apr,2-5,02/04/2010,6,Opinium,Express,39,1,41,36,5,29,1,28,30,0,17,-1,14,20,0,10,0,
,Apr,4-5,04/04/2010,6,YouGov,Sun,41,2,40,42,-2,31,2,30,32,-2,18,-2,17,18,-1,10,0,Internet
,Apr,5-6,05/04/2010,7,YouGov,Sun,40,-1,42,38,4,32,1,30,34,-4,17,-1,16,18,-2,8,-2,Internet
,Apr,6,06/04/2010,8,Populus,TT,39,1,,,,32,1,,,,21,0,,,,7,0,Phone
,Apr,6-7,06/04/2010,7,Angus RS,PB,37,-1,35,39,-4,26,-1,27,25,2,22,2,20,25,-5,11,0,Internet
,Apr,6-7,06/04/2010,8,YouGov,Sun,37,-3,37,38,-1,32,0,33,30,3,19,2,19,20,-1,5,-3,Internet
,Apr,7,07/04/2010,11,ICM,STel,38,1,,,,30,-3,,,,21,0,,,,8,4,Phone
,Apr,7-8,07/04/2010,9,YouGov,Sun,40,3,38,42,-4,31,-1,33,30,3,18,-1,16,19,-3,9,4,Internet
,Apr,7-8,07/04/2010,10,Harris,DM,37,0,38,37,1,27,-1,27,26,1,22,3,18,26,-8,10,1,Internet
,Apr,7-13,07/04/2010,15,TNS-BMRB,,36,-2,,,,33,0,,,,22,3,,,,3,-2,F2F
,Apr,8-9,08/04/2010,10,YouGov,Sun,40,0,,,,30,-1,,,,20,2,,,,10,1,Internet
,Apr,8-13,08/04/2010,15,Harris,Metro,36,-1,33,38,-5,27,0,29,26,3,23,1,21,25,-4,9,-1,Internet
,Apr,9-10,09/04/2010,11,ComRes,IoS/S Mirror,39,2,39,39,0,32,2,30,33,-3,16,-4,15,17,-2,7,0,Phone
,Apr,9-10,09/04/2010,11,YouGov,ST,40,0,34,42,-8,32,2,33,30,3,18,-2,19,18,1,8,-2,Internet
,Apr,9-10,09/04/2010,11,BPIX,MoS,38,1,,,,31,1,,,,20,0,,,,7,0,Internet
,Apr,9-11,09/04/2010,13,ICM,GU,37,-1,,,,31,1,,,,20,-1,,,,6,-2,Phone
,Apr,9-12,09/04/2010,13,Opinium,Express,39,0,40,37,3,31,2,29,32,-3,17,0,15,19,-4,8,-2,
,Apr,9-12,09/04/2010,13,Angus RS,PB,38,1,38,27,11,28,2,28,28,0,22,0,20,23,-3,10,-1,Internet
,Apr,10-11,10/04/2010,12,YouGov,Sun,37,-3,32,41,-9,31,-1,34,29,5,20,2,20,19,1,6,-2,Internet
,Apr,10-11,10/04/2010,12,ComRes,ITV/Ind,37,-2,36,37,-1,30,-2,30,31,-1,20,4,20,21,-1,7,0,Phone
,Apr,11-12,11/04/2010,13,YouGov,Sun,39,2,38,41,-3,33,2,33,32,1,20,0,19,20,-1,6,0,Internet
,Apr,11-12,11/04/2010,13,ComRes,ITV/Ind,36,-1,37,35,2,31,1,31,31,0,19,-1,18,21,-3,5,-2,Phone
,Apr,12-13,12/04/2010,13,Populus,TT,36,-3,,,,33,1,,,,21,0,,,,3,-4,Phone
,Apr,12-13,12/04/2010,14,YouGov,Sun,39,0,37,41,-4,31,-2,31,32,-1,20,0,21,19,2,8,2,Internet
,Apr,12-13,12/04/2010,15,ComRes,ITV/Ind,35,-1,39,32,7,29,-2,27,32,-5,21,2,19,24,-5,6,1,Phone
,Apr,13-14,13/04/2010,15,YouGov,Sun,41,2,41,41,0,32,1,30,33,-3,18,-2,19,18,1,9,1,Internet
,Apr,14-15,14/04/2010,16,YouGov,Sun,37,-4,36,37,-1,31,-1,30,32,-2,22,4,23,22,1,6,-3,Internet
,Apr,14-15,14/04/2010,18,ICM,STel,34,-3,,,,29,-2,,,,27,7,,,,5,-1,Phone
,Apr,14-19,14/04/2010,21,Harris,Metro,31,-5,32,31,1,26,-1,25,26,-1,30,7,29,32,-3,5,-4,Internet
,Apr,14-20,14/04/2010,22,TNS-BMRB,,34,-2,,,,29,-4,,,,30,8,,,,5,2,F2F
,Apr,15,15/04/2010,16,ComRes,ITN,35,,,,,28,,,,,24,,,,,7,1,Phone (automated)
,Apr,15-17,15/04/2010,18,OnePoll,S People,27,-10,,,,23,-8,,,,33,12,,,,4,-2,
,Apr,16,17/04/2010,17,YouGov,Sun,33,-4,,,,28,-3,,,,30,8,,,,5,-1,Internet
,Apr,16-17,16/04/2010,18,BPIX,MoS,31,-7,,,,28,-3,,,,32,12,,,,3,-4,Internet
,Apr,16-17,16/04/2010,18,YouGov,ST,33,0,32,34,-2,30,2,31,28,3,29,-1,27,31,-4,3,-2,Internet
,Apr,16-17,16/04/2010,18,ComRes,Ios/S Mirror,31,-4,33,30,3,27,-2,28,27,1,29,8,25,32,-7,4,-5,Phone
,Apr,16-18,16/04/2010,20,ICM,GU,33,-1,,,,28,-1,,,,30,3,,,,5,0,Phone
,Apr,16-19,16/04/2010,20,Opinium,Express,32,-7,33,32,1,26,-5,26,26,0,29,12,27,30,-3,6,-2,
,Apr,16-19,16/04/2010,19,Angus RS,PB,32,-6,30,35,-5,24,-4,28,20,8,32,10,28,36,-8,8,-2,Internet
,Apr,17-18,17/04/2010,19,YouGov,Sun,32,-1,31,33,-2,26,-4,28,25,3,33,4,32,34,-2,6,3,Internet
,Apr,17-18,17/04/2010,19,ComRes,ITV/Ind,32,1,37,27,10,28,1,25,31,-6,28,-1,26,30,-4,4,0,Phone
,Apr,18-19,18/04/2010,20,YouGov,Sun,33,1,36,31,5,27,1,27,28,-1,31,-2,28,34,-6,6,0,Internet
,Apr,18-19,18/04/2010,20,ComRes,ITV/Ind,35,3,35,34,1,26,-2,23,29,-6,26,-2,26,26,0,9,5,Phone
,Apr,18-19,18/04/2010,21,MORI,ES,32,-3,34,30,4,28,-2,28,28,0,32,11,28,36,-8,4,-1,Phone
,Apr,19-20,19/04/2010,20,Populus,TT,32,-4,,,,28,-5,,,,31,10,,,,4,1,Phone
,Apr,19-20,19/04/2010,20,Angus RS,PB,32,0,33,30,3,23,-1,24,22,2,33,1,31,36,-5,9,1,Internet
,Apr,19-20,19/04/2010,21,YouGov,Sun,31,-2,29,33,-4,26,-1,26,27,-1,34,3,35,33,2,5,-1,Internet
,Apr,19-20,19/04/2010,21,ComRes,ITV/Ind,35,0,31,38,-7,25,-1,30,24,6,27,1,23,27,-4,10,1,Phone
,Apr,20-21,20/04/2010,22,YouGov,Sun,33,2,33,32,1,27,1,27,27,0,31,-3,30,33,-3,6,1,Internet
,Apr,20-26,20/04/2010,29,Harris,Metro,32,1,,,,25,-1,,,,30,0,,,,7,2,Internet
,Apr,21-22,21/04/2010,23,YouGov,Sun,34,1,34,35,-1,29,2,28,29,-1,28,-3,28,28,0,5,-1,Internet
,Apr,21-27,21/04/2010,29,TNS-BMRB,,34,0,,,,27,-2,,,,30,0,,,,7,2,F2F
,Apr,22-23,22/04/2010,24,Harris,DM,34,2,,,,26,1,,,,29,-1,,,,8,1,Internet
,Apr,22-24,22/04/2010,25,OnePoll,S People,32,5,,,,23,0,,,,32,-1,,,,9,5,
,Apr,23,23/04/2010,24,YouGov,Sun,34,0,35,33,2,29,0,31,27,4,29,1,27,32,-5,5,0,Internet
,Apr,23,23/04/2010,25,ICM,STel,35,2,,,,26,-2,,,,31,1,,,,9,4,Phone
,Apr,23,23/04/2010,25,MORI,NOTW,36,4,36,35,1,30,2,29,32,-3,23,-9,20,26,-6,6,2,Phone
,Apr,23-24,23/04/2010,25,ComRes,IoS/S Mirror,34,-1,35,34,1,28,3,27,29,-2,29,2,28,30,-2,6,-4,Phone
,Apr,23-24,23/04/2010,25,YouGov,ST,35,1,35,35,0,27,-2,28,28,0,28,-1,27,28,-1,8,3,Internet
,Apr,23-24,23/04/2010,25,BPIX,MoS,34,3,,,,26,-2,,,,30,-2,,,,8,5,Internet
,Apr,23-25,23/04/2010,27,ICM,GU,33,-2,,,,28,2,,,,30,-1,,,,5,-4,Phone
,Apr,23-26,23/04/2010,27,Opinium,Express,34,2,34,34,0,25,-1,26,25,1,28,-1,26,31,-5,9,3,
,Apr,23-26,23/04/2010,29,Angus RS,Econ,33,1,33,33,0,23,0,22,23,-1,30,-3,29,31,-2,10,1,Internet
,Apr,24-25,24/04/2010,26,YouGov,Sun,34,-1,34,35,-1,28,1,29,27,2,30,2,29,31,-2,6,-2,Internet
,Apr,24-25,24/04/2010,27,ComRes,Ind,32,-2,32,33,-1,28,0,26,30,-4,31,2,31,30,1,4,-2,Phone
,Apr,25-26,25/04/2010,27,YouGov,Sun,33,-1,32,35,-3,28,0,27,28,-1,29,-1,29,28,1,5,-1,Internet
,Apr,25-26,25/04/2010,28,ComRes,ITV/Ind,33,1,33,33,0,29,1,26,32,-6,29,-2,33,26,7,4,0,Phone
,Apr,26-27,26/04/2010,28,Populus,TT,36,4,,,,27,-1,,,,28,-3,,,,9,5,Phone
,Apr,26-27,26/04/2010,28,YouGov,Sun,33,0,34,32,2,29,1,28,30,-2,28,-1,27,28,-1,4,-1,Internet
,Apr,26-27,26/04/2010,29,ComRes,ITV/Ind,36,3,37,35,2,29,0,26,32,-6,26,-3,26,25,1,7,3,Phone
,Apr,27-28,27/04/2010,29,YouGov,Sun,34,1,35,33,2,27,-2,26,28,-2,31,3,31,31,0,7,3,Internet
,Apr,28-29,28/04/2010,30,YouGov,Sun,34,0,35,33,2,27,0,25,30,-5,28,-3,28,28,0,7,0,Internet
,Apr,28-4,28/04/2010,5,Harris,Metro,36,2,,,,26,0,,,,28,-2,,,,10,2,Phone
,Apr,29-30,29/04/2010,1,Harris,DM,33,-3,,,,24,-2,,,,32,4,,,,9,-1,Internet
,Apr,30,30/04/2010,1,YouGov,Sun,34,0,34,33,1,28,1,28,29,-1,28,0,27,28,-1,6,-1,Internet
,Apr,29-30,29/04/2010,2,Angus RS,S Express,35,2,36,34,2,23,0,23,23,0,29,-1,28,31,-3,12,2,Internet
,Apr,29-1 ?,29/04/2010,2,OnePoll,S People,30,-2,,,,21,-2,,,,32,0,,,,9,0,
,Apr,29-4,29/04/2010,5,TNS-BMRB,,33,-1,30,36,-6,27,0,28,26,2,29,-1,31,28,3,6,-1,F2F
,Apr,30,30/04/2010,2,ICM,STel,36,1,,,,29,3,,,,27,-3,,,,7,-2,Phone
,Apr,30-1,30/04/2010,2,YouGov,ST ,35,1,32,37,-5,27,-1,26,27,-1,28,0,28,29,-1,8,2,Internet
,Apr,30-1,30/04/2010,2,ComRes,IoS/S Mirror,38,2,35,40,-5,28,-1,28,29,-1,25,-1,26,23,3,10,3,Phone
,Apr,30-1,30/04/2010,2,BPIX,MoS,34,0,,,,27,1,,,,30,0,,,,7,-1,Internet
